Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,org.truth0,AbstractVerbTest,fail,3,1,2,37,0,,
truth,org.truth0,AbstractVerbTest,noArgFail,4,1,0,44,1,org.truth0.AbstractVerb,org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0,AbstractVerbTest,argFail,4,1,1,49,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0,IterationOverSubjectTest,collectionItemsAreGreaterThan,13,2,0,38,1,org.truth0.subjects.IntegerSubject,org.truth0.subjects.IntegerSubject; org.truth0.AbstractVerb
truth,org.truth0,IterationOverSubjectTest,collectionItemsContainText,13,2,0,51,1,org.truth0.subjects.StringSubject,org.truth0.subjects.StringSubject; org.truth0.AbstractVerb
truth,org.truth0,IterationOverSubjectTest,iterable,3,1,1,64,0,,
truth,org.truth0,ExampleTest,stringContains,3,1,0,36,1,org.truth0.subjects.StringSubject,org.truth0.subjects.StringSubject
truth,org.truth0,ExampleTest,listHasElements,5,1,0,40,1,org.truth0.subjects.CollectionSubject,org.truth0.subjects.CollectionSubject
truth,org.truth0,ExampleTest,equalityFail,10,1,0,51,1,org.truth0.subjects.IntegerSubject,org.truth0.subjects.IntegerSubject; org.truth0.subjects.StringSubject
truth,org.truth0,ExampleTest,divideBySelf,4,1,1,63,0,org.truth0.subjects.IntegerSubject,org.truth0.subjects.IntegerSubject
truth,org.truth0,ExampleTest,expectRange,6,1,0,70,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.subjects.IntegerSubject
truth,org.truth0,ExampleTest,customTypeCompares,3,1,0,77,1,,
truth,org.truth0,ExpectFailureTest,expectFailNotEquals,3,1,0,41,1,org.truth0.subjects.IntegerSubject,org.truth0.subjects.IntegerSubject
truth,org.truth0,ExpectFailureTest,expectFailStringContains,3,1,0,45,1,org.truth0.subjects.StringSubject,org.truth0.subjects.StringSubject
truth,org.truth0,ExpectFailureTest,expectFailContainsAllOf,3,1,0,49,1,org.truth0.subjects.CollectionSubject,org.truth0.subjects.CollectionSubject
truth,org.truth0,ExpectFailureTest,expectFailContainsAnyOf,3,1,0,53,1,org.truth0.subjects.CollectionSubject,org.truth0.subjects.CollectionSubject
truth,org.truth0,ExpectTest,apply,4,1,3,43,0,org.truth0.Expect,org.truth0.Expect
truth,org.truth0,ExpectTest,expectTrue,3,1,0,50,1,org.truth0.subjects.IntegerSubject,org.truth0.subjects.IntegerSubject
truth,org.truth0,ExpectTest,expectFail,9,1,0,55,1,org.truth0.subjects.StringSubject,org.truth0.subjects.StringSubject
truth,org.truth0,ExpectTest,warnWhenExpectIsNotRule,5,1,0,66,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject
truth,org.truth0,Truth,fail,3,1,1,57,0,,
truth,org.truth0,Truth,failComparing,3,1,3,60,0,org.truth0.util.ComparisonUtil,org.truth0.util.ComparisonUtil
truth,org.truth0,AbstractVerb,AbstractVerb,3,1,1,10,0,,
truth,org.truth0,AbstractVerb,getFailureStrategy,3,1,0,14,0,,
truth,org.truth0,AbstractVerb,fail,3,1,0,18,0,org.truth0.FailureStrategy,org.truth0.FailureStrategy
truth,org.truth0,AbstractVerb,fail,3,1,1,25,0,org.truth0.FailureStrategy,org.truth0.FailureStrategy
truth,org.truth0,AbstractVerb,about,3,1,1,32,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,TestVerb,3,1,1,37,0,,
truth,org.truth0,TestVerb,that,3,1,1,41,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,45,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,49,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,53,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,57,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,61,0,org.truth0.subjects.IterableSubject,org.truth0.subjects.IterableSubject; org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,65,0,org.truth0.subjects.CollectionSubject,org.truth0.subjects.CollectionSubject; org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,69,0,org.truth0.subjects.ListSubject,org.truth0.subjects.ListSubject; org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,73,0,,
truth,org.truth0,TestVerb,that,3,1,1,77,0,org.truth0.subjects.MapSubject,org.truth0.subjects.MapSubject; org.truth0.AbstractVerb
truth,org.truth0,Truth,failComparing,3,1,3,60,0,,
truth,org.truth0,Truth,fail,3,1,1,69,0,,
truth,org.truth0,Truth,failComparing,3,1,3,72,0,org.truth0.util.ComparisonUtil,org.truth0.util.ComparisonUtil
truth,org.truth0,Truth,fail,3,1,2,76,0,,
truth,org.truth0,Expect,create,3,1,0,70,0,,
truth,org.truth0,Expect,Expect,4,1,1,74,0,,
truth,org.truth0,Expect,getFailureStrategy,7,2,0,79,0,,
truth,org.truth0,Expect,apply,22,4,3,89,0,,
truth,org.truth0,Expect,evaluate,17,4,0,92,0,,
truth,org.truth0,AbstractVerb,AbstractVerb,3,1,1,16,0,,
truth,org.truth0,AbstractVerb,getFailureStrategy,3,1,0,20,0,,
truth,org.truth0,AbstractVerb,fail,3,1,0,24,0,org.truth0.FailureStrategy,org.truth0.FailureStrategy
truth,org.truth0,AbstractVerb,fail,3,1,1,31,0,org.truth0.FailureStrategy,org.truth0.FailureStrategy
truth,org.truth0,AbstractVerb,about,3,1,1,38,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,AbstractVerb,in,3,1,1,70,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,FailureStrategy,fail,3,1,1,28,0,org.truth0.FailureStrategy,org.truth0.FailureStrategy
truth,org.truth0,FailureStrategy,fail,3,1,2,32,0,,
truth,org.truth0,FailureStrategy,failComparing,3,1,3,36,0,org.truth0.FailureStrategy,org.truth0.FailureStrategy; org.truth0.util.ComparisonUtil
truth,org.truth0,IteratingVerb,load,3,1,1,30,0,org.truth0.IteratingVerb,org.truth0.IteratingVerb
truth,org.truth0,IteratingVerb,IteratingVerb,4,1,2,37,0,,
truth,org.truth0,IteratingVerb,thatEach,3,1,1,42,0,org.truth0.IteratingVerb,org.truth0.IteratingVerb; org.truth0.AbstractVerb
truth,org.truth0,IteratingVerb,wrap,11,1,3,47,0,org.truth0.IteratingVerb,org.truth0.IteratingVerb
truth,org.truth0,IteratingVerb,instantiate,18,1,5,59,0,,
truth,org.truth0,IteratingVerb,compileWrapperClass,18,1,1,76,0,org.truth0.codegen.IteratingWrapperClassBuilder,org.truth0.codegen.IteratingWrapperClassBuilder
truth,org.truth0,TestVerb,TestVerb,3,1,1,42,0,,
truth,org.truth0,TestVerb,that,3,1,1,46,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,50,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,56,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,61,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,66,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,71,0,org.truth0.AbstractVerb,org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,76,0,org.truth0.subjects.IterableSubject,org.truth0.subjects.IterableSubject; org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,82,0,org.truth0.subjects.CollectionSubject,org.truth0.subjects.CollectionSubject; org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,88,0,org.truth0.subjects.ListSubject,org.truth0.subjects.ListSubject; org.truth0.AbstractVerb
truth,org.truth0,TestVerb,that,3,1,1,94,0,,
truth,org.truth0,TestVerb,that,3,1,1,100,0,org.truth0.subjects.MapSubject,org.truth0.subjects.MapSubject; org.truth0.AbstractVerb
truth,org.truth0.gwt,TruthGwtTest,getModuleName,3,1,0,34,0,,
truth,org.truth0.gwt,TruthGwtTest,testBoolean,4,1,0,38,0,org.truth0.subjects.BooleanSubject,org.truth0.subjects.BooleanSubject
truth,org.truth0.gwt,TruthGwtTest,testInteger,9,1,0,43,0,org.truth0.subjects.IntegerSubject,org.truth0.subjects.IntegerSubject; org.truth0.AbstractVerb
truth,org.truth0.gwt,TruthGwtTest,testString,11,1,0,53,0,org.truth0.subjects.StringSubject,org.truth0.subjects.StringSubject; org.truth0.AbstractVerb
truth,org.truth0.gwt,TruthGwtTest,testIterable,3,1,0,65,0,,
truth,org.truth0.gwt,TruthGwtTest,testCollection,3,1,0,69,0,org.truth0.subjects.Ordered,org.truth0.subjects.Ordered; org.truth0.subjects.CollectionSubject
truth,org.truth0.gwt,TruthGwtTest,testList,3,1,0,73,0,org.truth0.subjects.Ordered,org.truth0.subjects.Ordered; org.truth0.subjects.CollectionSubject
truth,org.truth0.gwt,TruthGwtTest,testDefault,3,1,0,77,0,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest,testSubjectWrapperGeneration_PlainClass,10,1,0,79,1,org.truth0.codegen.IteratingWrapperClassBuilder,org.truth0.codegen.IteratingWrapperClassBuilder; org.truth0.subjects.StringSubject
truth,org.truth0.codegen,IteratingWrapperClassBuilderTest,testSubjectWrapperGeneration_InnerClass,10,1,0,91,1,org.truth0.codegen.IteratingWrapperClassBuilder,org.truth0.codegen.IteratingWrapperClassBuilder; org.truth0.subjects.StringSubject
truth,org.truth0.codegen,BarSubject,getSubject,3,1,2,32,0,,
truth,org.truth0.codegen,BarSubject,BarSubject,3,1,2,37,0,,
truth,org.truth0.codegen,BarSubject,startsWith,5,2,1,41,0,org.truth0.subjects.Subject,org.truth0.subjects.Subject
truth,org.truth0.codegen,CompilingClassLoader,CompilingClassLoader,6,2,4,91,0,org.truth0.codegen.CompilingClassLoader,org.truth0.codegen.CompilingClassLoader
truth,org.truth0.codegen,CompilingClassLoader,findClass,7,2,1,105,0,,
truth,org.truth0.codegen,CompilingClassLoader,compileSourceCodeToByteCode,10,1,3,118,0,,
truth,org.truth0.codegen,IteratingWrapperClassBuilder,IteratingWrapperClassBuilder,4,1,1,97,0,,
truth,org.truth0.codegen,IteratingWrapperClassBuilder,build,11,2,0,102,0,org.truth0.util.ReflectionUtil,org.truth0.util.ReflectionUtil; org.truth0.codegen.IteratingWrapperClassBuilder
truth,org.truth0.codegen,IteratingWrapperClassBuilder,appendMethodWrapper,7,2,4,121,0,org.truth0.codegen.IteratingWrapperClassBuilder,org.truth0.codegen.IteratingWrapperClassBuilder
truth,org.truth0.codegen,IteratingWrapperClassBuilder,methodParameterList,8,3,1,148,0,,
truth,org.truth0.codegen,IteratingWrapperClassBuilder,methodSignature,14,5,2,157,0,,
truth,org.truth0.codegen,IteratingWrapperClassBuilder,stringVisibility,11,3,1,173,0,,
truth,org.truth0.delegatetest,DelegationTest,customTypeProposition,3,1,0,30,1,,
truth,org.truth0.delegatetest,DelegationTest,customTypePropositionWithFailure,10,1,0,34,1,org.truth0.AbstractVerb,org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0.delegatetest,Foo,Foo,3,1,1,29,0,,
truth,org.truth0.delegatetest,FooSubject,getSubject,3,1,2,32,0,,
truth,org.truth0.delegatetest,FooSubject,FooSubject,3,1,2,37,0,,
truth,org.truth0.delegatetest,FooSubject,matches,5,2,1,41,0,org.truth0.subjects.Subject,org.truth0.subjects.Subject
truth,org.truth0.subjects,SubjectFactoryReflectionTest,genericErasureWorkaround,9,1,0,36,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject
truth,org.truth0.subjects,SubjectFactoryReflectionTest,getSubject,3,1,2,39,0,,
truth,org.truth0.subjects,SubjectPropertiesTest,testHasNoSuchField,9,1,0,33,1,org.truth0.TestVerb,org.truth0.TestVerb; org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPublicField,3,1,0,43,1,org.truth0.TestVerb,org.truth0.TestVerb
truth,org.truth0.subjects,SubjectPropertiesTest,testHasFieldWithNullSubject,10,1,0,47,1,org.truth0.TestVerb,org.truth0.TestVerb; org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPublicFieldWithValue,3,1,0,58,1,org.truth0.TestVerb,org.truth0.TestVerb
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPublicFieldWithWrongValue,9,1,0,62,1,org.truth0.TestVerb,org.truth0.TestVerb; org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPublicFieldWithNullValue,3,1,0,73,1,org.truth0.TestVerb,org.truth0.TestVerb
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPublicFieldWithWrongNullValue,9,1,0,77,1,org.truth0.TestVerb,org.truth0.TestVerb; org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPublicFieldWithValueInBadField,9,1,0,88,1,org.truth0.TestVerb,org.truth0.TestVerb; org.truth0.AbstractVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectPropertiesTest,testHasPrivateField,3,1,0,98,1,org.truth0.TestVerb,org.truth0.TestVerb
truth,org.truth0.subjects,SubjectPropertiesTest,testHasProvidedFieldWithValue,3,1,0,102,1,org.truth0.TestVerb,org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,identityOfNulls,4,1,0,36,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,identityOfNullsFailure,10,1,0,41,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,identityOfObject,5,1,0,51,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,identityOfObjectFailure,21,1,0,57,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,toString,3,1,0,58,0,,
truth,org.truth0.subjects,SubjectTest,toString,3,1,0,59,0,,
truth,org.truth0.subjects,SubjectTest,identityOfObjectFailureWithComparableObjects,11,1,0,69,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,isNull,4,1,0,80,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,isNullFail,10,1,0,85,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,isNotNull,4,1,0,95,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,isNotNullFail,10,1,0,100,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,equalityOfNulls,4,1,0,110,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,equalityOfNullsFailure,10,1,0,115,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,equalityOfObjectBasedOnIdentity,5,1,0,125,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,equalityOfObjectFailure,21,1,0,131,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,toString,3,1,0,132,0,,
truth,org.truth0.subjects,SubjectTest,toString,3,1,0,133,0,,
truth,org.truth0.subjects,SubjectTest,equalityOfComparableObjects,5,1,0,142,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,equalityOfComparableObjectsFailure,11,1,0,148,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,inequalityOfNulls,4,1,0,159,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,inequalityOfNullsFailure,10,1,0,164,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,inequalityOfObjectBasedOnIdentity,5,1,0,174,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,inequalityOfObjectFailure,16,1,0,180,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,toString,3,1,0,181,0,,
truth,org.truth0.subjects,SubjectTest,inequalityOfComparableObjects,5,1,0,191,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb
truth,org.truth0.subjects,SubjectTest,inequalityOfComparableObjectsFailure,11,1,0,197,1,org.truth0.subjects.Subject,org.truth0.subjects.Subject; org.truth0.TestVerb; org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,isA,3,1,0,208,1,,
truth,org.truth0.subjects,SubjectTest,isAFail,9,1,0,212,1,org.truth0.subjects.StringSubject,org.truth0.subjects.StringSubject
truth,org.truth0.subjects,SubjectTest,isNotA,3,1,0,221,1,,
